Song Name,Author,Classname,lyrics_available,lyrics_length,lyrics
Radioactive,Bullet For My Valentine,selfdetermination,True,1211,"Woah, oh-oh
Woah, oh-oh
Woah, oh-oh
Woah

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Woah

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive"
God is A Weapon,Falling in Reverse,aggressive,True,923,"I can't stop from spinning down the rabbit hole
The deeper that you push, the deeper I will go
They said that God's a woman, I'll worship you the same
'Cause all I do is think about saying your name in vain

You might as well marry me

My sinful confession, you're my obsession (Yeah, yeah)
If God is a woman, then God is a weapon (Yeah)

Yeah, yeah, yeah

I can't stop from sinning, my halo's just a hole
Deeper that I get inside you, the deeper you will fall
Say that God's a weapon, well, I'm a hand grenade
Try to take this ring from me, watch me detonate

You might as well bury me

My sinful confession, you'rе my obsession (Yeah, yeah)
If God is a woman, thеn God is a weapon (Yeah)

Yeah (Yeah)
Uh

My sinful confession, you're my obsession (Oh, fuck; yeah)
If God is a woman, then God is a wea—
(God is a wea—) A weapon
(
God is a, God is a, God is a
) God is a wea—
(
God is a, God is a, God is a, God is a
)
Yeah"
Kein Vorbei,Ben Techny,selfdetermination,True,1076,"Gebaut, um Seelen einzuschleifen
Brennen im Takt, Uhrwerk entfacht im Schweigen
Ein System gebaut, um Seelen einzuschleifen
Stakkatoschritte, Schatten tanzen an den Wänden
Mensch zur Maschine, Sinne im Standby enden
Verbrennen im Takt, Uhrwerk entfacht im Schweigen
Ein System gebaut, um Seelen einzuschleifen
Platanen werfen Schatten wie vergessene Gesichter
Kein Weg zurück, nur Spiegel aus Geschichtenrichter
Trümmer in den Taschen, Schutt ersetzt das Gold
Gesprengte Uhren zeigen allen, dass die Zeit uns nicht holt
Beton weint unter Füßen, Stiefel schwer wie Schuld
Tropfen zählen Zeit, tickt wie ein stummer Puls
Worte fallen flach, atmen Rauch statt Luft
Wände lauschen still, Geheimnisse begraben im Schutt
Begraben im Schutt
Geheimnisse begraben im Schutt
Ein Echo hallt, durch Tunnel stumm und tief
Ein Leben, das zerbricht, das Ziel, nie erreich, nie siegt
Was bleibt, ist Staub, Erinnerung wie ein Schrei
Durch gesprungene Venen fließt die Ewigkeit vorbei
Fließt die Ewigkeit vorbei
Fließt die Ewigkeit vorbei
Kein Vorbei
Ewigkeit vorbei
Fließt die Ewigkeit vorbei"
IN MY REMAINS,Linkin Park,selfdetermination,True,1016,"Separate
Sifting through the wreckage, I can't concentrate
Searching for a message in that fear and pain
Broken down and waiting for the chance to feel alive

Now, in my remains
Are promises that never came
Set this silence free
To wash away the worst of me

Come apart
Falling in the cracks of every broken heart
Digging through the wreckage of your disregard
Sinking down and waiting for the chance to feel alive

Now, in my remains
Are promises that never came
Set this silence free
To wash away the worst of me

Like an army falling
One by one by one
Like an army falling
One by one by one
Like an army falling
One by one by one
Like an army falling
One by one by one

Now, in my remains (One by one, one by one)
Are promises that never came (One by one by one)
Set this silence free (One by one, one by one)
To wash away the worst of me (One by one by one)

Like an army falling (
One by one, one by one
)
One by one by one (
One by one by one
)
Like an army falling (
One by one, one by one
)
One by one by one"
Against The Wall,Jerome,perseverance,True,815,"I don't wanna drown myself
Told you I've been here before with someone else
Yeah, you call the cops 'cause I just run away
And I've been foolish 'cause I played these games
And suddenly you didn't wanna play
While I wanted to stay
You wanted to break free from all these chains
So there's nothing I could say
And I've been up against the wall
Telling you that I come
Been up against the wall
Telling you that I come
I think that I lost myself
Hold a broken heart and it can't give me help
Yeah, I fell before, when is it gonna stop?
I've been hopin' that I could find love
And suddenly you didn't wanna play
While I wanted to stay
You wanted to break free from all these chains
So there's nothing I could say
And I've been up against the wall
Telling you that I come
Been up against the wall
Telling you that I come"
Prada,Drogu,lovemaking,True,2154,"Will, Bruder

Und sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada, sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada

Bring mir Bruscetta, bin Lago di Garda
Trink' kleine Espresso und smoke Juana
Ho- hol an der Esso 'ne Dose Havana
Ich habe die Technik, Paolo Dybala
Riech' nach Versace Dylan Blue highkey
Trage das tuned n tick auf mein'n Nikes
Geld aus 2000, doch Levi's aus Ninetys
Ich hänge draußen mit Gang, I'm alright, G
Baggy mit Runtz, wir fahren an 'n Strand
Bruder, steig ein und ich zahle den Tank
Einhundert Grad, oh, das ist krank
Bruder, meine Haut ist von der Sonne verbrannt

Du bombardierst mit Nachrichten konstant mein iPhone
Vielleicht ein bisschen schwer, meine Jungs sind grad da
Baby, keine Panik, du kannst heut vorbeikomm'n
Denn du siehst böse aus, du bist 'ne schöne Maus

Und sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada, sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada

Kauf' mir 'ne Villa mit Meeresblick
Bodys auf Bodys, ich bin auf mei'm Playboy-Shit
Sonne geht unter, wenn grade mein Hazey kickt
Fast schon unglaublich, dass das jetzt mein Leben ist
Technik wie Kanté, N'Golo, Bro
Keiner geht solo Home, oh-oh no, oh-oh no
Ganze Nacht Party, Batida-de-Côco-Flow
Bis einer fragt: „Was ist wieder mit Drogu los?“
Was war gestern denn nur los?
Die Sonne scheint in mein Gesicht
So viele Messages im Phone
Und das nur wegen einer Chick

Du bombardierst mit Nachrichten konstant mein iPhone
Vielleicht ein bisschen schwer, meine Jungs sind grad da
Baby, keine Panik, du kannst heut vorbeikomm'n
Denn du siehst böse aus, du bist 'ne schöne Maus

Und sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada, sie trägt dunkle Shades von Prada (Wo führt das nur hin?)
Prada (Geld in mei'm Account)
Pr-Pr-Prada (Soda in mei'm Drink)
Prada"
Holiday,Green Day,aggressive,True,1335,"Say, hey, cha

Hear the sound of the fallin' rain
Comin' down like an Armageddon flame (Hey)
The shame, the ones who died without a name
Hear the dogs howlin' out of key
To a hymn called ""Faith and Misery"" (Hey)
And bleed, the company lost the war today

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

Hear the drum poundin' out of time
Another protester has crossed the line (Hey)
To find the money's on the other side
Can I get another Amen? (Amen)
There's a flag wrapped around a score of men (Hey)
A gag, a plastic bag on a monument

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

(Hey)


(Three, four)
The representative from California has the floor

Sieg Heil to the President Gasman
Bombs away is your punishment
Pulverize the Eiffel Towers
Who criticize your government
Bang-bang goes the broken glass, and
Kill all the fags that don't agree
Trials by fire, settin' fire
Is not a way that's meant for me
Just 'cause (Hey, hey, hey, hey)
Just 'cause, because we're outlaws, yeah (Hey, hey, hey, hey)

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
This is our lives on holiday"
What I Believe,Skillet,selfdetermination,True,1388,"The world around me is lost in misery
The only good I've got in my life is you
No meaning, no other reason
When everything feels wrong I feel right with you
So madly, desperate, deeply obsessed
Your love is better than mine to me
Can I have this moment forever?
Take me to the beginning

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe

When we started whole-hearted
I never needed anything or anyone else
I was broken, you made me whole again
The only one I trusted more than myself
So madly, desperate, deeplyI will live for you completely
Can I have this moment forever?
Take me to the beginning

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe

Believe in your love, belief in your life
Believe that you can put me back together on the inside
Chase all the fear away
Every time I speak your name
Take me, you are what I believe

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real, you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe"
Good In Goodbye,Catch Your Breath,heartbroken,True,1422,"The walls are closing in
Time is dragging on
You promised me forever
Forever's come and gone
You left some of your clothes
Folded in the drawer
You left me there in pieces
Lying on the floor

Where's the meaning in a heartbreak?
Where's the lesson in the loss?

Darling, through all the pain, what have we gained?
'Cause I'm still searching for silver lines
Maybe the scars you gave make me strong one day
Down the line, I guess I'm trying to find the good in goodbye

I've drawn the curtains shut
In the television glow
The promise of tomorrow
Is empty like a ghost
I found your winter coat
Tucked beneath the bed
And I can't help but wonder
If you'll come back when summer ends

Where's the meaning in a heartbreak?
Where's the lesson in the loss?

Darling, through all the pain, what have we gained?
'Cause I'm still searching for silver lines
Maybe the scars you gave make me strong one day
Down the line, I guess I'm trying to find the good in goodbye

Your love was a sunset, descending so slowly
Now suddenly, I've found myself in the dark
I'm wandering blindly, searching for signs of light
A glimpse of a spark

Darling, through all the pain, what have we gained?
'Cause I'm still searching for silver lines
Maybe the scars you gave make me strong one day
Down the line, I guess I'm trying to find the good in goodbye

High-igh-igh, ohh-oh
I guess I'm trying to find
I guess I'm trying to find the good in goodbye"
Angles On A Rampage,Sunrise Avenue,perseverance,True,1351,"It's late, too late to keep this level up much longer
We've got to turn it off or turn it down
So why do we do this?
Why do we do these things we don't wanna do at all?
And why do we do this?
Beating our heads up against the wall
I keep on driving like a crazy man without the headlights
Racing somewhere I know I shouldn't go
So why do we do this?
Why do we aim for spots we know that hurt the most?
And why do we do this? Why do we do this?

It must be the angels on a rampage
They're taking matters into their own hands
They're making us do what we don't want
Making me say I'm moving on
Must be the angels on a rampage

What kind of poison did you slip me when I wasn't looking?
What kind of hold do I have on you?
And why do we do this?
Why do we do these things we don't wanna do at all
And why do we do this?

It must be the angels on a rampage
They're taking matters into their own hands
They're making us do what we don't want
Making me say I'm moving on
Must be the angels on a rampage

Oh-oh-oh, woah, must be the angels
Why did I do this? Why did I do this?
It must be the angels on a rampage
Must be the angels on a rampage

It must be the angels on a rampage
They're taking matters into their own hands
They're making us do what we don't want
Making me say I'm moving on
Must be the angels on a rampage
It must be the angels on a rampage"
