Song Name,Author,Classname,lyrics_available,lyrics_length,lyrics
Authobahn,Ohrbooten,selfdetermination,True,3499,"Ick fahr' so uff der Autobahn (Im Bus)
Da seh' ich ein'n Rastamann
Ick steh' da so am Straßenrand (Zu Fuß)
Und halt' den Daumen raus aus meiner Hand, yo!
Ick halt' ma' an der Straße an und frag': ""Ey, Mann, wo lang?""
Ick will (Ja?), zum Chill'n, (Alles klar!) ins Frei-hei-heitsgefühl
Ick bin (Wo?
) schon drin (Ach so
) u!ffem Weg direkt dahin!
Na fein, da steig' ick ein, da komm' ick mit 'n kleenet Stück!
Setz dich rein, dreh wat ein, lehn dich zurück auf diesem Trip (
Ja)
U!
nd woh
in fahr'n wa?
Aus der Fata Morgana
Durch jedes Panorama ins Nirwana
Und davor zum Dalai Lama!
[Bridge: Benjamin Pavlidis, 
Johnny Strange, 
? & ?
]
Pavlidisinmal Strange
m den 
Globus
Zwei oder drei oder fünf Mal um die Welt
Und wenn einer auf Klo muss
Dann gibts 'n Klo im Bus
Kein Grund, dass man anhält
 (Mh-mh, nein-nein)
Denn das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n
[Part 2: ?, 
?
, 
? & ?
]
Wir düsten durch Wüsten
Steppten durch Felder
Checkten die Wälder
Entdeckten Buchten
Versteckt in tiefen Schluchten
Und bei den Pyramiden
Da wär'n wa fast geblieben
Wir hab'n uns umentschieden
Und stiegen 
in Täler in Korea
Und besuchten die Hebräer
Und in Alabama killten wir den Kilometerzähler
Als wa in Taiwan war'n
Wollt'n wir in'n Sudan fahr'n
Doch hatten wir kein'n Plan, Mann
So kamen wir nach Japan
Mit Ruderfest in Budapest, Mann, dit war echt der Hammer
Bauten Blunts mit Gras aus Kingston und Zigarren aus Havanna
So völlig high
 (High)
Durch die Mongolei
 (-lei)
Surfen auf Hawaii
 (-waii)
In Shanghai gab's Stress mit Polizei
Das war voll krass, wa?
Und dann in Madagaskar
War'n Freak aus Alaska
Der macht die beste Pasta, 
Basta
Denn das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n (Ja, ey)
Das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n
[Part 3: ?, 
?
, 
? & ?
]
Sämtliche Länder erobert
Mit allen Völkern gechillt
Jedes Wesen bewundert
Genug Input gefüllt
Und wat woll'n wa jetzt noch machen?
Hm, lass ma' überlegen
Ick fang' ma' an zu hämmern
Und ick fang' an zu sägen
Bus zu zerlegen, abwägen und neu zusammenkleben
Ey, wat bau'n wir überhaupt hier?
Würd' sagen 'n U-Boot?
Auf jeden!
Luke schließen, abtauchen in tiefsten Ecken der Meeresbecken
Wo unentdeckte Welten sich bis heute noch verstecken
Wir erforschen alle Winkel 
der Länder und der Meere
Was wäre da noch übrig?
Na ist doch klar, die Atmosphäre
Also bau'n wa wieder, schraub'n wa wieder
Biegen und schmieden
Löten Platinen, Kabelsalat, programmieren Maschinen
Und starten auf zu Planeten mit Lichtgeschwindigkeits-Raketen
Segelten mit Kometen zu intergalaktischen Feten
Wir treten ein in die nächste Dimension
Und es gibt keine Endstation, denn wir bleiben in Bewegung
Denn das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n (Ja, ey)
Das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n
Das Leben ist wie eine große Autobahn
Lass uns nicht lange überlegen, sondern losfahr'n
Wohin ist egal und wo lang werd'n wa seh'n
Es wird immer weitergeh'n (Ey)
Das Leben ist wie eine große Autobahn"
Marie&Jana,Sido,selfdetermination,True,2876,"Tja, wie das Leben so spielt:
Mit Sarah und Carmen ist es wieder vorbei
Beide abgehau'n, hm, tja, ah
Aber ich hab' zwei Neue, heh
Marie und Jana, hm, eh
Aber Marie und Jana mögen auch kein Hip-Hop
Marie und Jana steh'n auf Reggae
Okay, hah, warum nicht, au, ah

Ihr seid mein Lebenssinn, ich kann ohne euch nicht mehr sein
Ihr verdreht mir meinen Kopf, bitte lasst mich nicht allein (Eh)
Einen ganzen Tag ohne euch könnte ich mir nicht verzeih'n
Wenn eure Liebe Alkohol wär', würd ich nie mehr nüchtern sein (Eh)
Also Reiner sagt, ich schüchter' ein, doch ich sag': „Nein, ihr bringt zur Ruhe
Wenn mir ma' wieder was nicht passt in meine Kinderschuhe"" (Eh)
Ihr holt mich auf den Boden, da lieg' ich, komplett ausgezogen
Eine massiert mir die Schläfen und die andre kaut die Hoden

Ich weiß, wir gehören zusamm'n, ich gib euch nie mehr weg
Ich will diese Küsse nicht vermissen, mein Gott, wie das schmeckt (Eh)
Ich kenn' nichts, das sie ersetzt, verdammt, ich halt' sie lieber fest
Für sie schreib' ich sogar Reggae-Lieder jetzt

Ihr macht mich so high, so high
Ich flieg' wie ein Adler
Ich fühl' mich so frei nur bei Marie und Jana ()
Ihr macht mich so high, so high
Ich flieg' wie ein Adler (Ah)
Ich fühl' mich so frei nur bei Marie und Jana (Eh)

Ich roll' sie ein, ich halt' sie warm, ich mein', ich zünd sie an (Eh)
Du fragst, woher ich die zwei kenn', ich sag': „Ich kam ganz günstig dran"" (Eh)
Ich nehm' sie überall mit hin, ich fahr' sogar nach Bayern
Doch, weil man sie da nicht mag, bewahr' ich sie an meinen Eiern (Yeah)
Ich werd' nervös, wenn sie nicht da sind, mir zerbricht der Schädel
Nur ihr Geruch allein macht mein'n Verstand völlig vernebelt (Eh)
Ich lieb' meine Mädels, ganz bestimmt auch noch mit achtzig
Die Bull'n meckern, macht nichts, mein Anwalt schiebt 'ne Nachtschicht

Ich weiß, wir gehören zusamm'n, ich gib euch nie mehr weg
Ich will diese Küsse nicht vermissen, mein Gott, wie das schmeckt (Eh)
Ich kenn' nichts, das sie ersetzt, verdammt, ich halt' sie lieber fest
Für sie schreib' ich sogar Reggae-Lieder jetzt

Ihr macht mich so high, so high
Ich flieg' wie ein Adler
Ich fühl' mich so frei nur bei Marie und Jana ()
Ihr macht mich so high, so high
Ich flieg' wie ein Adler (Ah)
Ich fühl' mich so frei nur bei Marie und Jana (Eh)

Da brennt ein Feuer hinterm DJ-Pult, *Feuer*
Ihr reisst die Fenster auf, und springt aus euerm Balkon
Da brennt ein Feuer hinterm DJ-Pult, *Feuer*
Ich lass' es einfach brenn bis die Feuerwehr kommt
Da brennt ein Feuer hinterm DJ-Pult, *Feuer*
Ihr reisst die Fenster auf, und springt aus euerm Balkon
Da brennt ein Feuer hinterm DJ-Pult, *Feuer*
A bis Die- A Bis Die- A Bis Die Feerwehr kommt

Ihr macht mich so high, so high
Ich flieg' wie ein Adler
Ich fühl' mich so frei nur bei Marie und Jana ()
Ihr macht mich so high, so high
Ich flieg' wie ein Adler (Ah)
Ich fühl' mich so frei nur bei Marie und Jana (Eh)"
Ding,Seed,heartbroken/party,True,2902,"So, heute bin ich ziemlich gut drauf
Zieh' mich schick an, setz' 'n Hut auf
Die Rolex tickt, Mann, seh' ich gut aus
Hol' mir den Kick, den ich absolut brauch', yeah
Wieder mal 'n Soloausritt
In dem Poser-Outfit
Mach' ich's mir nett, mach' mich brett-fett, rauch' Shit
Wo sind die Bräute mit Poser-Ausschnitt?
Komm' in den Club und genieß' den Ausblick
Die Braut ist schmuck und die ist auch schick
Ich sing' 'ne Hook, bei der jede austickt
Meine Frau guckt krass, wenn se's rauskriegt
Hm, egal, mal 'n Ausgang
Muss doch ma' drin sein, bin kein Hausmann
Brauch' unbedingt ein'n Drink, der taugt, ran
An die Bar, ich laber' 'ne Frau an
Für die Lady und für mich sieben Mojito
Mit ei'm Mal gefällt mir jedes Lied so
Tanz' sogar zum Song von Placebo
Bin blau und die Dame dito

Oh-oh-oh, du hübsches Ding
Ich versteck' mein'n Ehering
Kling-linge-ling, wir könnten's bring'n
Doch wir nuckeln nur am Drink
Oh-oh-oh, du hübsches Ding
Du bist Queen und ich bin King
Wenn ich dich seh', dann muss ich sing'n
„Tinga-linga-ling, you pretty thing“

Wir sind blau, wir sind spitz
Zuhause sitzt die Frau mit Kids
Im Augenblick bekämpfe ich den Wunsch
Der, wie jeder sehen kann, in meinen Augen blitzt
Alter, krasse Braut, sie sagt: „Lass es raus!“
Und ist heiß darauf loszulegen
Ich muss Zeit gewinn'n, bestell' weiter Drinks
„Sie ist nicht mein Ding“, versuch' ich mir einzureden
Lächerlich, ich becher' mich weg
Barkeeper, hau raus, was in deinen Fässern steckt
Ich sauf's aus, weil es mich vergessen lässt
Meine Gedanken sind besessen von Sex
Sie will Offensive vom Mann
Doch ich bin besoffen, schiele sie an
Kurz darauf liegt mein Kopf neben der Toilette
Hätte nie gewettet, dass Kotzen meine Ehe rettet

Oh-oh-oh, du hübsches Ding
Ich versteck' mein'n Ehering
Kling-linge-ling, wir könnten's bring'n
Doch wir nuckeln nur am Drink
Oh-oh-oh, du hübsches Ding
Du bist Queen und ich bin King
Wenn ich dich seh', dann muss ich sing'n
„Tinga-linga-ling, you pretty thing“
Oh-oh-oh

See that burnin' body (Hot)
Those boobs in a naughty (Top)
Red lips so juicy (Caught)
In the middle of your web, please don't stop
Take my brain, turn it off
Don't feel shame, don't feel love
More champagne for our game
It's insane, but it's ahh!
Do you wanna ruin my life, say what?
You wanna tell my wife? Please stop
Things are gettin' real tight, I never thought
You'd set me up, huh
All I wanted was a body for delight
""Lets get naughty,"" you said, right?
Now you say you love me day and night
Who's gonna save me from this fright?

Oh-oh-oh, du hübsches Ding
Ich versteck' mein'n Ehering
Kling-linge-ling, wir könnten's bring'n
Doch wir nuckeln nur am Drink
Oh-oh-oh, du hübsches Ding
Du bist Queen und ich bin King
Wenn ich dich seh', dann muss ich sing'n
„Tinga-linga-ling, you pretty thing“

Oh-oh-oh, du hübsches Ding
Ich versteck' mein'n Ehering
Kling-linge-ling, wir könnten's bring'n
Doch wir nuckeln nur am Drink
Oh-oh-oh"
Fledermauspark,Trailerpark,loneliness,False,0,
Paperplanes,M.I.A.,cricital,True,2005,"I fly like paper, get high like planes
If you catch me at the border, I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
I fly like paper, get high like planes
If you catch me at the border, I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

'Cause all I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money

Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hard, just pumping that gas
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hard, just pumping that gas

'Cause all I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money

M.I.A, third world democracy
Yeah, I've got more records than the KGB
So, uh, no funny business (Are you ready all?)
Some some some I some I murder
Some I some I let go
Some some some I some I murder
Some I some I let go

All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money
All I wanna do is—, and a—
And take your money"
Haus am See,Peter Fox,perseverance,True,2071,"Yeah
Yeah, mh-mh
Yeah

Hier bin ich gebor'n und laufe durch die Straßen
Kenn' die Gesichter, jedes Haus und jeden Laden
Ich muss ma' weg, kenn' jede Taube hier beim Nam'n
Daum'n raus, ich warte auf 'ne schicke Frau mit schnell'm Wagen
Die Sonne blendet, alles fliegt vorbei
Und die Welt hinter mir wird langsam klein
Doch die Welt vor mir ist für mich gemacht, hm-mh
Ich weiß sie wartet und ich hol' sie ab
Ich hab' den Tag auf meiner Seite, ich hab' Rückenwind
Ein Frau'nchor am Straßenrand, der für mich singt (Yeah)
Ich lehne mich zurück und guck' ins tiefe Blau
Schließ' die Augen und lauf' einfach gradeaus

Und am Ende der Straße steht ein Haus am See
Orangenbaumblätter liegen auf dem Weg
Ich hab' zwanzig Kinder, meine Frau ist schön
Mhh, alle komm'n vorbei, ich brauch' nie rauszugeh'n (Wouh)
Im Traum geseh'n, das Haus am See

Yeah
Yeah

Ich suche neues Land mit unbekannten Straßen
Fremde Gesichter und keiner kennt mein'n Nam'n
Alles gewinn'n beim Spiel mit gezinkten Karten
Alles verlier'n, Gott hat ein'n harten linken Haken
Ich grabe Schätze aus in Schnee und Sand (Huh)
Und Frau'n rauben mir jeden Verstand
Doch irgendwann werd' ich vom Glück verfolgt, mh-mh
Und komm' zurück mit beiden Taschen voll Gold
Ich lad' die alten Vögel und Verwandten ein (Wouh)
Und alle fang'n vor Freude an zu wein'n
Wir grill'n, die Mamas kochen und wir saufen Schnaps
Und feiern eine Woche jede Nacht (Yeah)

Und der Mond scheint hell auf mein Haus am See
Orangenbaumblätter liegen auf dem Weg
Ich hab' zwanzig Kinder, meine Frau ist schön
Mhh, alle komm'n vorbei, ich brauch' nie rauszugeh'n (Wouh)
Im Traum geseh'n (Wouh-hou-hou), das Haus am See (Wouh)
Und am Ende der Straße steht ein Haus am See
Orangenbaumblätter liegen auf dem Weg
Ich hab' zwanzig Kinder, meine Frau ist schön
Mhh, alle komm'n vorbei, ich brauch' nie rauszugeh'n

Wouh
Yeah, yeah, yeah, yeah

Hier bin ich gebor'n, hier werd' ich begraben
Hab' taube Ohr'n, 'n weißen Bart und sitz' im Garten
Meine hundert Enkel spiel'n Cricket aufm Rasen
Wenn ich so daran denke, kann ich's eigentlich kaum erwarten"
Alles neu,Peter Fox,selfdetermination,True,2196,"Ich verbrenn' mein Studio, schnupfe die Asche wie Koks
Ich erschlag' mein'n Goldfisch, vergrab' ihn im Hof
Ich jag' meine Bude hoch, alles was ich hab', lass' ich los, ah
Mein altes Leben schmeckt wie 'n labbriger Toast
Brat' mir 'n Prachtsteak, Peter kocht jetzt feinstes Fleisch
Bin das Update: Peter Fox 1.1
Ich will abshaken, feiern, doch mein Teich ist zu klein
Mir wächst 'ne neue Reihe Beißer wie bei 'nem weißen Hai, wouh
Gewachst, gedopt, poliert, nagelneue Zähne
Ich bin euphorisiert und habe teure Pläne
Ich kaufe mir Baumaschin'n, Bagger und Walzen und Kräne
Stürze mich auf Berlin, drück' auf die Sirene
Ich baue schöne Boxentürme, Bässe massieren eure Seele
Ich bin die Abrissbirne für die d-d-d-deutsche Szene

Hey, alles glänzt
So schön neu (Yeah, yeah, yeah)
Hey, wenn's dir nicht gefällt
Mach neu (Wouh)
Die Welt mit Staub bedeckt
Doch ich will seh'n, wo's hingeht (Yeah, yeah, yeah)
Steig' auf den Berg aus Dreck
Weil oben frischer Wind weht (Wouh)
Hey, alles glänzt
So schön neu

Ich hab' meine alten Sachen satt und lass' sie in 'nem Sack verrotten
Motte die Klamotten ein und dann geh' ich nackt shoppen
Ich bin komplett renoviert, Bräute haben was zu glotzen
Kerngesund, durchtrainiert, Weltmeister im Schach und Boxen
Nur noch konkret reden, gib mir ein Ja oder Nein
Schluss mit Larifari, ich lass' all die alten Faxen sein
Sollt ich je wieder kiffen, hau' ich mir 'ne Axt ins Bein
Ich will nie mehr lügen, ich will jeden Satz auch so mein'n
Mir platzt der Kopf, alles muss sich verändern
Ich such' den Knopf, treffe die mächtigen Männer
Zwing' das Land zum Glück, kaufe Banken und Sender
Alles spielt verrückt, zitternde Schafe und Lämmer
Ich seh' besser aus als Bono und bin 'n Mann des Volkes
Bereit, die Welt zu retten, auch wenn das vielleicht zu viel gewollt ist

Hey, alles glänzt
So schön neu (Yeah, yeah, yeah)
Hey, wenn's dir nicht gefällt
Mach neu (Wouh)
Hier ist die Luft verbraucht
Das Atmen fällt mir schwer
Bye, bye, ich muss hier raus
Die Wände kommen näher
Die Welt mit Staub bedeckt
Doch ich will seh'n, wo's hingeht (Yeah, yeah, yeah)
Steig' auf den Berg aus Dreck
Weil oben frischer Wind weht (Ahh, wouh)
Hey, alles glänzt
So schön neu

Hey
Hey
Hey
Hey"
Augenbling,Seed,lovemaking,True,3515,"Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen

Ich lieg' im Dreck (Sink' ins Meer)
Wieg' zehn Tonn'n (Bin inn'n leer)
Dreh' mich im Kreis (Ich seh' nichts mehr)
Jeder Weg führt wieder hier her
Mal meine Wand an (Rabenschwarz)
Bin müde und krank (Schlaf' am Tag)
Lieg' flach, glotz' mich in mein Grab
Geier aufm Dach warten auf Aas

Ruf mich nicht an, ich bin tot
Meine Haut grün, die Augen rot
Lad mich nicht ein, denn da, wo ich hingeh', regnet es bloß
Die Wand ist lang und zu hoch
Der Graben tief und zu groß
Doch irgendwo aus dem Nichts ein Blick, für den es sich lohnt

Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling (Yeah) und alles ist vergessen

Deine Augen geben meiner Welt wieder Glanz (Ah-ah)
Du machst mich wieder ganz (Ah-ah)
Drück' dir mein Herz in die Hand (Ah-ah)
Baby, nimm es als Pfand (Ah-ah, ah-ah)
Komme jeden Tag, besuche dich
Alle in dei'm Kiez verfluchen mich
Steh' in dei'm Hof, sing' 'n schiefes Lied
Das Haus tobt, Mobiliar fliegt im Beat
Aus dem Nichts wurde Schwarz zu Bunt
Ausm Platz an der Bar wurde Haus und Hund
Du bist schön, ich geh' der Sache auf den Grund
Und dein Bauch wird rund (Na-na-na, na-na-na-na)
Baby, geh mit mir raus ans Licht
Ich glaube an Gott, denn er baute dich
Ausgerechnet ich bin im Garten Eden
Diese Braut, dieser Arsch, dieser Tag, dieses Leben

Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen

Yeah
You know how it goes, y'all
If one girl's there
Another will come

You, madam, mek me gaze and 'stan
Haffi raise my thumb, she's a loaded gun
Cool me dung for my brain is gone
If no savior come, I'm gonna bun my hand (They'll tell it!)
Some guy's wanna spy out and tell-le-le (Yell it!)
My wife's gonna cry out and yell-le-le (They'll smell it!)
The dogs will sniff it and smell it, retell it
Then the press gonna buy it and sell-le-le
So simmer dung and please let me go (Wanna go)
Raise the dimmer for di lights are too low (Oh oh)
In this thriller, cyaa leave di field as a winner
So better watch out Mr. Dellé-lé

Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen
Deine Augen machen bling-bling und alles ist vergessen

(Hey, hey, hey, hey, hey, hey, hey, hey)
(Hey, hey, hey, hey, hey, hey, hey, hey)
(Hey, hey, hey, hey, hey, hey, hey, hey)
(Hey, hey, hey, hey, hey, hey, hey, hey)"
Bleib in der Schule,Trailerpark,selfdetermination,True,3372,"(Tai Jason)

Stars auf Schnee, Saint-Tropez
Ich kann nicht mal das ABC
Mama sagte damals schon: „Mach was aus dei'm Leben
Junge, du hast es doch nicht nötig, in den Charts zu steh'n“
Manchmal wünscht ich mir, ich hätte ein'n andern Beruf
Die Hälfte meiner Arbeitszeit sitz' ich gelangweilt am Pool, yeah
Habe nie etwas gelernt, mein Gedächtnis ist jetzt hin
Muss mir eine neue Wohnung kaufen, weil ich meine letzte nicht mehr find'
Alle meine Lehrer dachten, ich schaff' es nie aus der Gosse nach oben
Ich habe mir in Chemie immer den falschen Stoff reingezogen (Timi)

Boah, und immer diese triefend feuchten Damen
Wär ich doch nur gut in Mathe, könnte ich dir sagen, wie viel es heute waren
Aber ohne den Worten von Professoren zu horchen, sind wir Idioten geworden
Wie fahr' ich nur ohne binomische Formeln meinen modischen Porsche?
Geh' mal die Gefahren dieses Globus erforschen
Wir sind an tropischen Orten schon fast durch Blowjobs gestorben
Guck doch, ich trag' ihn um den Hals und er ist schwer, mein Erfolg
Denn die meisten Medaillen sind auch auf der Kehrseite Gold (Ah)

Wir haben alle in der Schule geraucht
Und jetzt sieh uns an
Sie sagen, wir hab'n uns die Zukunft verbaut
Und jetzt sieh uns an
Ihr könnt aus unsern Fehlern hoffentlich lernen
Wir woll'n doch alle bloß 'n Job und dann sterben
Ihr könnt aus unsern Fehlern hoffentlich lernen
Wir woll'n doch alle bloß 'n Job und dann sterben

Hab' mir 'ne Insel gekauft, damit ich draußen nicht frier'
Stinke nach Geld, und wenn ich deine Freundin ficken will, dann kauf' ich sie mir
Und ich werd' von Firmen als Reklame genutzt
Doch ich nehme niemals deren Namen in' Mund
Nike, Reebok, Porsche, Prada
Und der Psychiater
Du passt nur kurz nicht richtig auf und auf einmal bist du reich
Jede Frau will mit dir schlafen, es gibt keine Frau, die bleibt
Meine Mutter sagt, ich bin ein Arschloch geworden
Deshalb muss ich jetzt das Kopfgeld bezahlen fürs Morden

Bin schon seit der zweiten Million bereits so gezeichnet vom Coke
Und kann seit der dritten mittlerweile ohne Hilfe nicht alleine aufs Klo
Hab' kein Hepatitis A, bin weder Asiat
Noch bin ich einer von den Simpsons, meine Leber hat versagt
Wär nicht immer vor Gericht
Denn hätt ich im Unterricht nicht immer nur gefehlt, dann wüsst ich heut, dass es für Sex ein Mindestalter gibt
Ich will, dass keiner von euch sich ein Beispiel nimmt daran
Also bleibt in der Schule, sodass ich euch leichter finden kann

Wir haben alle in der Schule geraucht
Und jetzt sieh uns an
Sie sagen, wir hab'n uns die Zukunft verbaut
Und jetzt sieh uns an
Ihr könnt aus unsern Fehlern hoffentlich lernen
Wir woll'n doch alle bloß 'n Job und dann sterben
Ihr könnt aus unsern Fehlern hoffentlich lernen
Wir woll'n doch alle bloß 'n Job und dann sterben

Rock 'n' Roll im Ketarausch
Macht sich nicht so gut im Lebenslauf
Gangbang-Partys, Fame und Frau'n
Machen sich nicht gut im Lebenslauf
Wenn du Shore im Mercedes rauchst
Macht sich das nicht gut im Lebenslauf
Wenn du schon die dritte Leber brauchst
Macht sich das nicht so gut im Lebenslauf

Wir haben alle in der Schule geraucht
Und jetzt sieh uns an
Sie sagen, wir hab'n uns die Zukunft verbaut
Und jetzt sieh uns an
Ihr könnt aus unsern Fehlern hoffentlich lernen (Lernen)
Wir woll'n doch alle bloß 'n Job und dann sterben
Ihr könnt aus unsern Fehlern hoffentlich lernen
Wir woll'n doch alle bloß 'n Job und dann sterben"
Willst du,Alligatoah,selfdetermination,True,2954,"Wie man eine Liebe maximal romantisch lebt, will jeder wissen
Keiner hilft uns – Fairplay
Gott sei Dank gibt es Film und Fernseh'n
Da, wo ich meine Bildung hernehm' (Jawohl)
Glaub mir, das wird super, für deine Story hab'n wir schon den Grund
Weshalb du in deiner Jugendphase wutgeladen bist
Dein Papa kam nicht zu deinem Schultheaterstück
Bei mir finden wir schon was, wo der Schuh gerade drückt

Wir kennen uns seit x Jahren
Du brauchst jetzt nix sagen
Ich wollt dich fragen: Wollen wir den nächsten Schritt wagen?

Willst du mit mir Drogen nehmen?
Dann wird es rote Rosen regnen
Ich hab's in einer Soap gesehen
Willst du mit mir Drogen nehmen?

(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Denn ein Wrack ist ein Ort, an dem ein Schatz schlummert

Jetzt sind wir frei, chillen auf gigantischen Berggipfeln
Du musst dann sagen: „Keiner kann unsern Schmerz diggen“
Wir sammeln erstmal fröhliche Kiffsonntage
Für die hituntermalte Schnittmontage (Yeah, ah)
Komm schon, das wird romantisch
Wenn ich dich halte, damit du nicht auf den Klorand brichst
Dann verdienen wir ein Kerzenpaket
Für die erste WG auf 'nem Herren-WC
Eine herbstliche Szene, weil es passt (Weil es passt)
Und ich falle auf die Knie und hol' aus meiner Jacke
Eine kleine Schachtel, du weißt, was abgeht

Willst du mit mir Drogen nehmen?
Dann wird es rote Rosen regnen
Ich hab's in einer Soap gesehen
Willst du mit mir Drogen nehmen?

(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Denn ein Wrack ist ein Ort, an dem ein Schatz schlummert

Und dann brauchen wir epische Fights, wer das lausige H kriegt
Zuschauer: Rauchende Babys
Die werden nicht verwöhnt, die müssen Fertigsuppe löffeln
Und die spielen mit vom Körperbau entfernten Puppenköpfen
Du willst raus per klischeehafter Flucht in ein Landhaus
Ich brüll' dann sowas wie: „Gleich rutscht mir die Hand aus!
Du wirst mit den Kindern nirgendwo hinfahr'n!“
Ich werd' euch mit 'ner Axt durch ein Labyrinth jagen (Ha)
Im Winter, weil ich das Bild feier' (Yeah)
Mach' unser Leben filmreifer als Til Schweiger
Es hat Action, Drama und Comedy
Also was sagst du, mon chéri?

Willst du mit mir Drogen nehmen?
Dann wird es rote Rosen regnen
Um dem Kinofilm die Show zu stehlen
Willst du mit mir Drogen nehmen?

(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter
(Komm) Denn ein Wrack ist ein Ort, an dem ein Schatz schlummert
Komm, wir geh'n (Den Bach runter)
Komm, wir geh'n (Den Bach runter)
Komm, wir geh'n (Den Bach runter)
Komm, wir geh'n, komm, wir geh'n zusamm'n den Bach runter"
