Song Name,Author,Classname,lyrics_available,lyrics_length,lyrics
BURN IT DOWN,Linkin Park,selfdetermination,True,1346,"The cycle repeated
As explosions broke in the sky
All that I needed
Was the one thing I couldn't find

And you were there at the turn
Waiting to let me know

We're building it up
To break it back down
We're building it up
To burn it down
We can't wait to burn it to the ground

The colors conflicted
As the flames climbed into the clouds
I wanted to fix this
But couldn't stop from tearing it down

And you were there at the turn
Caught in the burning glow
And I was there at the turn
Waiting to let you know

We're building it up
To break it back down
We're building it up
To burn it down
We can't wait to burn it to the ground

You told me yes, you held me high
And I believed when you told that lie
I played soldier, you played king
And struck me down when I kissed that ring
You lost that right to hold that crown
I built you up but you let me down
So when you fall, I'll take my turn
And fan the flames as your blazes burn (Burn)

And you were there at the turn
Waiting to let me know

We're building it up
To break it back down
We're building it up
To burn it down
We can't wait to burn it to the ground

When you fall, I'll take my turn
And fan the flames as your blazes burn (Burn)
We can't wait to burn it to the ground
When you fall, I'll take my turn
And fan the flames as your blazes burn (Burn)
We can't wait to burn it to the ground"
Fireflies,Owl City,selfdetermination,True,1766,"You would not believe your eyes if ten million fireflies
Lit up the world as I fell asleep
'Cause they'd fill the open air and leave teardrops everywhere
You'd think me rude, but I would just stand and stare

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems

'Cause I'd get a thousand hugs from ten thousand lightning bugs
As they tried to teach me how to dance
A foxtrot above my head, a sock hop beneath my bed
A disco ball is just hanging by a thread

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)

Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)
Why do I tire of counting sheep
(Please take me away from here)
When I'm far too tired to fall asleep?

To ten million fireflies, I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell (They said farewell)
But I'll know where several are if my dreams get real bizarre
'Cause I saved a few and I keep them in a jar (Jar, jar, jar)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
Because my dreams are bursting at the seams"
21 Guns,Green Day,perseverance,True,1279,"Do you know what's worth fightin' for
When it's not worth dyin' for?
Does it take your breath away
And you feel yourself suffocatin'?
Does the pain weigh out the pride
And you look for a place to hide?
Did someone break your heart inside?
You're in ruins

One, twenty-one guns
Lay down your arms, give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I

When you're at the end of the road
And you lost all sense of control
And your thoughts have taken their toll
When your mind breaks the spirit of your soul
Your faith walks on broken glass
And the hangover doesn't pass
Nothing's ever built to last
You're in ruins

One, twenty-one guns
Lay down your arms, give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I

Did you try to live on your own
When you burned down the house and home?
Did you stand too close to the fire
Like a liar looking for forgiveness from a stone?


When it's time to live and let die
And you can't get another try
Somethin' inside this heart has died
You're in ruins

One, twenty-one guns
Lay down your arms, give up the fight
One, twenty-one guns
Throw up your arms into the sky
One, twenty-one guns
Lay down your arms, give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I"
Numb,Linkin Park,selfdetermination,True,1451,"I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
I don't know what you're expecting of me
Put under the pressure of walking in your shoes

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

Can't you see that you're smothering me?
Holding too tightly, afraid to lose control
'Cause everything that you thought I would be
Has fallen apart, right in front of you

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow
And every second I waste is more than I can take

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

And I know
I may end up failing too
But I know
You were just like me with someone disappointed in you

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

I've become so numb, I can't feel you there
I'm tired of being what you want me to be
I've become so numb, I can't feel you there
I'm tired of being what you want me to be"
CASTLE OF GLASS,Linkin Park,selfdetermination,True,795,"Take me down to the river bend
Take me down to the fighting end
Wash the poison from off my skin
Show me how to be whole again
Fly me up on a silver wing
Past the black where the sirens sing
Warm me up in a nova's glow
And drop me down to the dream below

'Cause I'm only a crack
In this castle of glass
Hardly anything there for you to see
For you to see

Bring me home in a blinding dream
Through the secrets that I have seen
Wash the sorrow from off my skin
And show me how to be whole again

'Cause I'm only a crack
In this castle of glass
Hardly anything there for you to see
For you to see

'Cause I'm only a crack
In this castle of glass
Hardly anything else I need to be

'Cause I'm only a crack
In this castle of glass
Hardly anything there for you to see
For you to see, for you to see"
Boulevard of Broken Dreams,Green Day,selfdetermination,True,1341,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me, and I walk alone
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk alone

I walk alone, I walk alone
I walk alone, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah

I'm walkin' down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone
Read between the lines
What's fucked up and everything's all right
Check my vital signs
To know I'm still alive, and I walk alone

I walk alone, I walk alone
I walk alone, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah
I walk alone, and I walk a—


I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone"
Complicated,Avril Lavigne,heartbroken,True,2451,"Uh-huh, life's like this
Uh-huh, uh-huh
That's the way it is (Ooh, la-la-la-la-la)
'Cause life's like this
Uh-huh, uh-huh (Ooh, la-la-la-la-la)
That's the way it is

Chill out, whatcha yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
I like you the way you are
When we're drivin' in your car
And you're talkin' to me
One-on-one, but you become

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no

You come over unannounced
Dressed up like you're somethin' else
Where you are ain't where it's at
You see, you're makin' me
Laugh out when you strike your pose
Take off all your preppy clothes
You know, you're not foolin'
Anyone when you become

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no (No)

No (No, no, no)
No (No, no, no)
No (No, no, no), no

Chill out, whatcha yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no
Why'd you have to go and make things so complicated? (Ayy-yay)
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no"
Holiday,Green Day,selfdetermination,True,1335,"Say, hey, cha

Hear the sound of the fallin' rain
Comin' down like an Armageddon flame (Hey)
The shame, the ones who died without a name
Hear the dogs howlin' out of key
To a hymn called ""Faith and Misery"" (Hey)
And bleed, the company lost the war today

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

Hear the drum poundin' out of time
Another protester has crossed the line (Hey)
To find the money's on the other side
Can I get another Amen? (Amen)
There's a flag wrapped around a score of men (Hey)
A gag, a plastic bag on a monument

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

(Hey)


(Three, four)
The representative from California has the floor

Sieg Heil to the President Gasman
Bombs away is your punishment
Pulverize the Eiffel Towers
Who criticize your government
Bang-bang goes the broken glass, and
Kill all the fags that don't agree
Trials by fire, settin' fire
Is not a way that's meant for me
Just 'cause (Hey, hey, hey, hey)
Just 'cause, because we're outlaws, yeah (Hey, hey, hey, hey)

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
This is our lives on holiday"
All The Things She Said,t.A.T.u.,lovemaking,True,2790,"All the things she said, all the things she said
Runnin' through my head, runnin' through my head
Runnin' through my head
All the things she said, all the things she said
Runnin' through my head, runnin' through my head
All the things she said (All the things she said)
This is not enough
 (
Enough, enough, enough
)

I'm in serious shit, I feel totally lost
If I'm asking for help, it's only because
Being with you has opened my eyes
Could I ever believe such a perfect surprise?
I keep asking myself, wondering how
I keep closing my eyes, but I can't block you out
Wanna fly to a place where it's just you and me
Nobody else, so we can be free
(
Nobody else, so we can be free
)

All the things she said, all the things she said
Runnin' through my head, runnin' through my head
Runnin' through my head
All the things she said, all the things she said
Runnin' through my head, runnin' through my head
All the things she said (All the things she said)
This is not enough (
Я сошла с ума, ма
)
This is not enough
 (All the things she said, all the things she said)

All the things she said, all the things she said
All the things she said, all the things she said
All the things she said


And I'm all mixed up, feeling cornered and rushed
They say it's my fault, but I want her so much
Wanna fly her away where the sun and rain
Come in over my face, wash away all the shame
When they stop and stare, don't worry me
'Cause I'm feeling for her what she's feeling for me
I can try to pretend, I can try to forget
But it's driving me mad, going out of my head

All the things she said, all the things she said
Runnin' through my head, runnin' through my head
Runnin' through my head
All the things she said, all the things she said
Runnin' through my head, runnin' through my head
All the things she said (All the things she said)
This is not enough (
Я сошла с ума, ма
)
This is not enough

All the things she said, all the things she said
All the things she said, all the things she said
All the things she said, all the things she said
All the things she said, all the things she said
Things she said
All the things she said, all the things she said

Mother lookin' at me
Tell me, ""What do you see?""
Yes, I've lost my mind
Daddy lookin' at me
Will I ever be free?
Have I crossed the line?

All the things she said, all the things she said
Runnin' through my head, runnin' through my head
Runnin' through my head
All the things she said, all the things she said
Runnin' through my head, runnin' through my head
All the things she said (All the things she said)
This is not enough (
Я сошла с ума, ма
)
This is not enough

All the things she said, all the things she said
All the things she said, all the things she said
All the things she said, all the things she said
All the things she said"
Teenage Dirtbag,Wheatus,lovemaking,True,1228,"Her name is Noelle, I have a dream about her
She rings my bell, I got gym class in half an hour
Oh, how she rocks in Keds and tube socks
But she doesn't know who I am, and she doesn't give a damn about me

'Cause I'm just a teenage dirtbag, baby
Yeah, I'm just a teenage dirtbag, baby
Listen to Iron Maiden, baby, with me, ooh

Her boyfriend's a dick and he brings a gun to school
And he'd simply kick my ass if he knew the truth
He lives on my block, and he drives an IROC
But he doesn't know who I am, and he doesn't give a damn about me

'Cause I'm just a teenage dirtbag, baby
Yeah, I'm just a teenage dirtbag, baby
Listen to Iron Maiden, baby, with me, ooh

Oh, yeah, dirtbag
No, she doesn't know what she's missin'
Oh, yeah, dirtbag
No, she doesn't know what she's missin'

Man, I feel like mold, it's prom night and I am lonely
Lo and behold, she's walkin' over to me
This must be fake, my lip starts to shake
How does she know who I am? And why does she give a damn about me?

I've got two tickets to Iron Maiden, baby
Come with me Friday, don't say maybe
I'm just a teenage dirtbag, baby, like you, ooh

Oh, yeah, dirtbag
No, she doesn't know what she's missin'
Oh, yeah, dirtbag
No, she doesn't know what she's missin'"
