Song Name,Author,Classname
Radioactive,Bullet For My Valentine,selfdetermination
God is A Weapon,Falling in Reverse,aggressive
Kein Vorbei,Ben Techny,selfdetermination
IN MY REMAINS,Linkin Park,selfdetermination
Against The Wall,Jerome,perseverance
Prada,Drogu,lovemaking
Holiday,Green Day,aggressive
What I Believe,Skillet,selfdetermination
Good In Goodbye,Catch Your Breath,heartbroken
Angles On A Rampage,Sunrise Avenue,perseverance
The Resistance,Skillet,perseverance
Vampire,Solence,lovemaking
Change The Way You Kiss Me,Luca Testa,lovemaking
LAND OF FIRE,Kordhell,perseverance
Us Against The wall,Darren Styles,heartbroken
Hollywood's Bleeding/Numb,Conor Maynard,heartbroken
iris,mgk,heartbroken
No Fun,ThatsKamer,party
Will She Fight ,Symphony of Sweden,loneliness
Deutschland,Rammstein,aggressive
I Don't Dance,Sunrise,lovemaking
"irgendwie,irgendwo,irgendwann (feat. marita)",OSWALD,lovemaking
Enter Sandman,Metallica,aggressive
Last Resort - Reimagined,Falling in Reverse,loneliness
Jenny,NOTHING MORE,loneliness
Pazifik,VON WELT,heartbroken
We Are The Fallen,Sub Zero Project,aggressive
light years (feat. Inéz),John Summit,party
LifeSaver,Sunrise Avenue,selfdetermination
Deine Angst,Klangkünstler,loneliness
We own the Night,89ers,party
Young Black & Rich,Melly Mike,perseverance
Falling,Trevor Daniel,heartbroken
Untouchable,DONDON,heartbroken
Final Masquerade,Linkin Park,heartbroken
Mr. Vain Recall - Radio Edit,Culture Beat,lovemaking
The Kill,Thirty Seconds To Mars,loneliness
The Diary Of Jane - Single Version,Breaking Benjamin,heartbroken
Hollywood Hills,Sunrise Avenue,perseverance
Sommernacht,2hermanoz,party
Wannsee,Die Toten Hosen,perseverance
LOST IN THE ECHO,Linkin Park,loneliness
Bluten,HE/RO,loneliness
The Emptiness Machine,Linkin Park,loneliness
all i know (feat. Trippie Redd),mgk,heartbroken
your name forever,mgk,perseverance
Wrong,Villain of the Story,loneliness
Trip to Mars (Astronouts),Sub Zero Project,party
