Song Name,Author,Classname
Authobahn,Ohrbooten,selfdetermination
Marie&Jana,Sido,selfdetermination
Ding,Seed,heartbroken/party
Fledermauspark,Trailerpark,loneliness
Paperplanes,M.I.A.,cricital
Haus am See,Peter Fox,perseverance
Alles neu,Peter Fox,selfdetermination
Augenbling,Seed,lovemaking
Bleib in der Schule,Trailerpark,selfdetermination
Willst du,Alligatoah,selfdetermination
Hurra die Welt geht unter,K.I.Z,cricital
Tanz aus der Reihe!,SDP,selfdetermination
Dancehall Caballeros,Seed,party
Du bist schön,Alligatoha,lovemaking
Trostpreis,Alligatoha,loneliness
Kids(2 Finger an den Kopf),Marteria,perseverance
Grüner Samt,Marsimoto,selfdetermination
Dickes B,Seed,party
Fick ihn doch,Alligatoah,heartbroken
Leider geil (Leider geil),Deichkind,selfdetermination
Du,Cro,lovemaking
Aufstehn!(feat. CeeLo Green),Seed,perseverance
Buffalo Soldier,Bob Marley,perseverance
Get Up Stand Up,Bob Marley,perseverance
Jamming,Bob Marley,party
Three Little Birds,Bob Marley,perseverance
Bad Boys(Theme from COPS),InnerCircle,selfdetermination
Wünsch dir was,Genetikk,perseverance
Johnny Däpp,Lorenz Büffel,party
Sterben kannst du überall,Trailerpark,selfdetermination
Bongzimmer,SIXTN,selfdetermination
Ganja Smoka,Benjie,selfdetermination
Schatz du Arschloch!,Weekend,heartbroken
Lass sie tanzen(Square Dance),Ali As,selfdetermination
Einmal um die Welt,CRO,lovemaking
Jein,Fettes Brot,selfdetermination
Schüttel dein Speck,Peter Fox,party
Pocahontas,AnnenMayKantereit,heartbroken
Ich & Du,Gestört aber Geil,lovemaking
So wie du bist,MoTrip,perseverance
Das Geld mus weg,Marteria,crictial
Soldaten 2.0,Kontra K,perseverance
Fotzen im Club,SXTN,selfdetermination
Die Eine 2005,Die Firma,lovemaking
Auf Die Guten Alten Zeiten,Dame,nostalgica
Was du Liebe nennst,Bausa,lovemaking
Baron,Bausa,selfdetermination
Rhytmus meines Lebens,Kool Savas,selfdetermination
Von Party zu Party,SXTN,party
Casanova,Summer Cem,lovemaking
Hardcore High,Juju,selfdetermination
Abfahrt,FiNCH,party
Last Resort,Papa Roach,loneliness
Numb,Linkin Park,perseverance
An alle Ladies, Ohrbooten, lovemaking
Selbstbefriedigung, Trailerpark, selfdetermination
House of the Rising Sun, The Animals, perseverance
Clandestina, Salar, lovemaking
All the Things She Said, t.A.T.u., lovemaking
Kokain, Hannes Wader, loneliness
Blah Blah Blah, Armin van Buuren, party
Like mich am Arsch, Deichkind, perseverance
Get It Right, Ferdinand fka Left Boy, party
Stadtaffe, Peter Fox, selfdetermination
Auseinanda, 257ers, party
Lass liegen, Alligatoah, perseverance
Mei Vadda, Hans Söllner, selfdetermination
Holz, 256ners, party
Wer Weiß, Alligatoah, lovemaking
Armut treibt Jugendliche in die Popmusik, Trailerpark, perseverance
No Guns Allowed(feat. Drake & Cori B.), Snoop Lion,  perseverance
Teenage Dirtbag, Wheatus, perseverance
Unwritten, Natasha Bedingfield, selfdetermination
Mundian To Bach Ke, Panjabi MC, selfdetermination
Jerk It Out, Caesars, selfdetermination
Waiting for Love, Avicii, perseverance
Auf uns, Andreas Bourani, lovemaking
Astronaut, Sido, perseverance
Traffic Lights, Lena, perseverance
Geiles Leben, Glasperlenspiel, selfdetermination
Lips Are Movin, Meghan Trainor, heartbroken
Take Me To Church, Hozier, perseverance
Atemlos durch die Nacht, Helene Fischer, party
Tom's Diner, AnnenMayKantereit, loneliness
Oft gefragt, AnnenMayKantereit, perseverance
Pocahontas, AnnenMayKantereit, heartbroken
Ausgehen, AnnenMayKantereit, lovemaking
Barfuß AM Klavier, AnnenMayKantereit, lovemaking
Are You with Me, Lost Frequencies, lovemaking
Love Me Like You Do, Ellie Goulding, lovemaking
Sugar (feat.Francesco Yates), Robin Schulz, party
See You Again (feat. Charlie Puth), Wiz Khalifa, perseverance
Firestone, Kygo, party
Wolke 4, Philipp Dittberner, lovemaking
Lieblingsmensch, Namika, lovemaking
Reality, Lost Frequencies, party
Flash Mich, Mark Forster, lovemaking
Stole the Show, Kygo, heartbroken
Uptown Funk (feat. Bruno Mars), Mark Ronson, party
Herz über Kopf, JORIS, heartbroken
How Deep Is Your Love, Calvin Harris, lovemaking
The Hanging Tree - From "The Hunger Games: Mockingjay", James Newton Howard, perseverance
Hold Back The River, James Bay, perseverance
Shut Up and Dance, David Guetta, party
Thinking out Loud, Ed Sheeran, lovemaking
Ghost Town, Adam Lambert, loneliness
Walk, Kwabs,perseverance
Lush Life, Zara Larsson, selfdetermination
Five More Hours, Deorro, party
Bills, LunchMoney Lewis, perseverance
I'm an Albatraoz, AronChupa, party
Easy Love, Sigala, lovemaking
Hello, Adele, perseverance
Cool Kids, Echosmith, perseverance
All of Me, John Legend, lovemaking
Break the Rules, Charli xcx, selfdetermination
I Really Like You, Carly Rae Jepsen, lovemaking
Wild & Free, Lena, selfdetermination
Ayo, Chris Brown, lovemaking
Hula Hoop, OMI, lovemaking
Alles brennt, Johannes Oerding, selfdetermination
The Nights, Avicii, party






































