Song Name,Author,Classname
BURN IT DOWN,Linkin Park,selfdetermination
Fireflies,Owl City,selfdetermination
21 Guns,Green Day,perseverance
Numb,Linkin Park,selfdetermination
CASTLE OF GLASS,Linkin Park,selfdetermination
Boulevard of Broken Dreams,Green Day,selfdetermination
Complicated,Avril Lavigne,heartbroken
Holiday,Green Day,selfdetermination
All The Things She Said,t.A.T.u.,lovemaking
Teenage Dirtbag,Wheatus,lovemaking
Stereo Hearts,Gym Class Heroes,lovemaking
In the End,Linkin Park,perseverance
Paradise,Coldplay,selfdetermination
Gives You Hell,All-American-Rejects,selfdetermination
Kiss from a Rose,Seal,lovemaking
Let Her Go,Passenger,heartbroken
Nothing Else Matters,Metallica,selfdetermination
Turn Off The Light,Nelly Furtado,heartbroken
I’m Like A Bird,Nelly Furtado,heartbroken
The Bad Touch,Bloodhound Gang,lovemaking
Patience,Take That,lovemaking
Where Is My Mind?,Pixies,loneliness
She’s a Maniac,Phone Calls From Home,selfdetermination
Zombie,The Cranberries,aggressive
Enjoy the Silence,Depeche Mode,lovemaking
Seven Nation Army,The White Stripes,aggressive
Pumped Up Kicks,Foster The People,aggressive
Fly Away,Lenny Kravitz,lovemaking
Butterfly,Crazy Town,lovemaking
Stacy’s Mom,Fountains of Wayne,lovemaking
Everytime We Touch,Cascada,lovemaking
Somebody That I Used To Know,Gotye,heartbroken
Fire Coming out of the Monkey’s Head,Gorillaz,aggressive
Major Tom,Peter Schilling,selfdetermination
Just Can’t Get Enough,Black Eyed Peas,lovemaking
Rather Be,Jean Bandit,perseverance
Ruby,Kaiser Chiefs,lovemaking
In The Shadows,The Rasmus,perseverance
Fairytale Gone Bad,Sunrise Avenue,heartbroken
Still Waiting,Sum 41,aggressive
You Give Love A Bad Name,Bon Jovi,heartbroken
She’s Got Nothing on,Roxette,lovemaking
My Favorite Game,The Cardigans,heartbroken
When I Come Around,Green Day,heartbroken
Livin’ On A Prayer,Bon Jovi,perseverance
Far Far Away,Slade,selfdetermination
Save Tonight,Eagle-Eye Cherry,lovemaking
San Francisco,Scott McKenzie,selfdetermination
Love Is All Around,R.E.M.,lovemaking
Wake Me Up When September Ends,Green Day,loneliness
The Nights,Avicii,selfdetermination
Without You,Avicii,heartbroken
Another Brick In The Wall,Pink Floyd,selfdetermination
Geile Zeit,Juli,heartbroken
The Hell Song,Sum 41,perseverance
White Flag,Dido,heartbroken
Thank You,Dido,lovemaking
Allein Allein,Polarkreis 18,loneliness
On Melancholy Hill,Gorillaz,loneliness
Cowgirl In The Sand,Neil Young,lovemaking
Die Omama,Ludwig Hirsch,loneliness
Cortez The Killer,Neil Young,perseverance
Down By The River,Neil Young,aggressive
All Good Things,Nelly Furtado,heartbroken
Pieces,Sum 41,selfdetermination
Still Loving You,Scorpions,heartbroken
Somewhere I Belong,Linkin Park,selfdetermination
Under The Bridge,Red Hot Chili Peppers,loneliness
Jumpin’ Jack Flash,The Rolling Stones,party
Riders On The Storm,The Doors,loneliness
Don’t Fear The Reaper,Blue Öyster Cult,selfdetermination
Burn,Ellie Goulding,party
Song 2,Blur,party
Why Can’t This Be Love,Van Halen,lovemaking
Easy Livin’,Uriah Heep,perseverance
Runaway,Bon Jovi,selfdetermination
New Age,Marion Roudette,heartbroken
When The Beat Drops Out,Marion Roudette,party
Something About Us,Daft Punk,lovemaking
Whole Lotta Love,Led Zeppelin,lovemaking
Going To California,Led Zeppelin,selfdetermination
Ramble On,Led Zeppelin,perseverance
All My Love,Led Zeppelin,lovemaking
The Boxer,Simon & Garfunkel,perseverance
All Along The Watchtower,Jimi Hendrix,perseverance
Breakfast in America,Supertramp,loneliness
Hold The Line,TOTO,lovemaking
Brothers In Arms,Dire Straits,loneliness
A Horse With No Name,America,perseverance
Junge,Die Ärzte,selfdetermination
wein in wien,Eli Preiss,party
Ein Kompliment,Sportfreunde Stiller,lovemaking
Augenblick,01099,lovemaking
Hardcore Vibes,Dune,party
Baller,Abor & Tynna,heartbroken
Losing It,FISHER,party
"My My, Hey Hey",Neil Young,perseverance
74-‘75,The Connels,heartbroken
Year Of The Cat,Al Stewart,lovemaking
Berlin,Fisher-Z,perseverance
Sultans Of Swing,Dire Straits,perseverance
Time After Time,Cyndi Lauper,heartbroken
The City Of New Orleans,Arlo Gutherie,loneliness
House Of The Rising Sun,The Animals,perseverance
Layla,Derek & The Dominos,heartbroken
No Surrender,MID CITY,perseverance
Looking Back,DROELOE,perseverance
Make Me Worse,Kings Of The City,perseverance
I Hope You Die in a Fire,Grand Commander,aggressive
Low Blow,HONEYMOAN,heartbroken
Disbeliever,Electric Callboy,perseverance
Rehab,Electric Callboy,perseverance
Crystals,Electric Callboy,party
My Own Summer,Electric Callboy,party
Hate/Love,Electric Callboy,heartbroken
MC Thunder,Electric Callboy,party
Hypa Hypa,Electric Callboy,party
MC Thunder II,Electric Callboy,party
Prism,Electric Callboy,perseverance
Blvckout,To the Rats and Wolves,party
We Got the Moves,Electric Callboy,party
Spaceman,Electric Callboy,party
Tekkno Train,Electric Callboy,party
Final Masquerade,Linkin Park,heartbroken
Another Love,Tom Odell,heartbroken
Your Woman,White Town,heartbroken
Take A Look Around,Limp Bizkit,aggressive
Waiting For Love,Avicii,loneliness
Euphoria,Loreen,lovemaking
Sailor Moon,Eli Preiss,party
World At Our Feet,Timmy Trumpet,perseverance
Got My Mind Set On You,George Harrison,lovemaking
What You Known,Two Door Cinema Club,selfdetermination
The Letter,The Box Tops,lovemaking
Following The Sun,SUPER-Hi,selfdetermination
Undisclosed Desires,Muse,lovemaking
Wait Another Day,Mike Williams,perseverance
10:35,Tiesto,lovemaking
Stayin’ Alive,Bee Gees,perseverance
Why Do I?,Bri Tolani,heartbroken
Died In Your Arms,Cutting Crown,heartbroken
The Phoenix,Fall Out Boy,perseverance
Hey Joe,Jimi Hendrix,aggressive
